Salario,Educación,Sexo,Estado civil
3.0999999046325684,11,Fem,Soltero/a
3.240000009536743,12,Fem,Casado/a
3.0,11,Masc,Soltero/a
6.0,8,Masc,Casado/a
5.300000190734863,12,Masc,Casado/a
8.75,16,Masc,Casado/a
11.25,18,Masc,Soltero/a
5.0,12,Fem,Soltero/a
3.5999999046325684,12,Fem,Soltero/a
18.18000030517578,17,Masc,Casado/a
6.25,16,Fem,Soltero/a
8.130000114440918,13,Fem,Soltero/a
8.770000457763672,12,Masc,Casado/a
5.5,12,Masc,Soltero/a
22.200000762939453,12,Masc,Casado/a
17.329999923706055,16,Masc,Casado/a
7.5,12,Fem,Casado/a
10.630000114440918,13,Fem,Soltero/a
3.5999999046325684,12,Fem,Casado/a
4.5,12,Fem,Casado/a
6.880000114440918,12,Fem,Soltero/a
8.479999542236328,12,Masc,Casado/a
6.329999923706055,16,Fem,Soltero/a
0.5299999713897705,12,Fem,Soltero/a
6.0,11,Fem,Soltero/a
9.5600004196167,16,Masc,Casado/a
7.78000020980835,16,Masc,Casado/a
12.5,16,Masc,Casado/a
12.5,15,Masc,Casado/a
3.25,8,Fem,Casado/a
13.0,14,Masc,Casado/a
4.5,14,Fem,Soltero/a
9.68000030517578,13,Fem,Soltero/a
5.0,12,Fem,Soltero/a
4.679999828338623,12,Fem,Soltero/a
4.269999980926514,16,Fem,Casado/a
6.150000095367432,12,Fem,Casado/a
3.509999990463257,4,Masc,Casado/a
3.0,14,Fem,Casado/a
6.25,12,Fem,Soltero/a
7.809999942779541,12,Fem,Casado/a
10.0,12,Fem,Casado/a
4.5,14,Fem,Casado/a
4.0,11,Fem,Casado/a
6.380000114440918,13,Fem,Soltero/a
13.699999809265137,15,Masc,Casado/a
1.6699999570846558,10,Masc,Soltero/a
2.930000066757202,12,Fem,Casado/a
3.650000095367432,14,Masc,Soltero/a
2.900000095367432,12,Fem,Casado/a
1.6299999952316284,12,Fem,Soltero/a
8.600000381469727,16,Fem,Soltero/a
5.0,12,Masc,Casado/a
6.0,12,Masc,Casado/a
2.5,12,Masc,Soltero/a
3.25,15,Masc,Soltero/a
3.400000095367432,16,Fem,Soltero/a
10.0,8,Masc,Soltero/a
21.6299991607666,18,Fem,Soltero/a
4.380000114440918,16,Masc,Soltero/a
11.710000038146973,13,Fem,Soltero/a
12.390000343322754,14,Masc,Soltero/a
6.25,10,Masc,Soltero/a
3.7100000381469727,10,Fem,Soltero/a
7.78000020980835,14,Masc,Soltero/a
19.979999542236328,14,Masc,Casado/a
6.25,16,Fem,Casado/a
10.0,12,Masc,Casado/a
5.710000038146973,16,Masc,Casado/a
2.0,12,Fem,Soltero/a
5.710000038146973,16,Fem,Soltero/a
13.079999923706056,17,Masc,Casado/a
4.909999847412109,12,Masc,Casado/a
2.9100000858306885,12,Fem,Casado/a
3.75,12,Fem,Casado/a
11.899999618530272,13,Masc,Casado/a
4.0,12,Fem,Casado/a
3.0999999046325684,12,Fem,Soltero/a
8.449999809265137,12,Masc,Casado/a
7.139999866485596,18,Masc,Casado/a
4.5,9,Masc,Casado/a
4.650000095367432,16,Masc,Soltero/a
2.900000095367432,10,Fem,Soltero/a
6.670000076293945,12,Masc,Soltero/a
3.5,12,Fem,Soltero/a
3.259999990463257,12,Fem,Casado/a
3.25,12,Fem,Casado/a
8.0,12,Fem,Soltero/a
9.850000381469728,8,Masc,Casado/a
7.5,12,Masc,Casado/a
5.909999847412109,12,Masc,Casado/a
11.760000228881836,14,Masc,Casado/a
3.0,12,Fem,Soltero/a
4.809999942779541,12,Fem,Soltero/a
6.5,12,Fem,Soltero/a
4.0,9,Fem,Casado/a
3.5,13,Masc,Soltero/a
13.15999984741211,12,Masc,Casado/a
4.25,14,Masc,Casado/a
3.5,12,Masc,Soltero/a
5.130000114440918,15,Fem,Soltero/a
3.75,12,Fem,Casado/a
4.5,12,Fem,Casado/a
7.630000114440918,12,Fem,Soltero/a
15.0,14,Masc,Casado/a
6.849999904632568,15,Fem,Casado/a
13.329999923706056,12,Masc,Casado/a
6.670000076293945,12,Masc,Soltero/a
2.5299999713897705,12,Fem,Soltero/a
9.800000190734863,17,Masc,Casado/a
3.369999885559082,11,Masc,Casado/a
24.979999542236328,18,Masc,Casado/a
5.400000095367432,12,Masc,Casado/a
6.110000133514404,14,Masc,Casado/a
4.199999809265137,14,Fem,Casado/a
3.75,10,Masc,Soltero/a
3.5,14,Fem,Casado/a
3.640000104904175,12,Masc,Soltero/a
3.799999952316284,15,Masc,Casado/a
3.0,8,Fem,Casado/a
5.0,16,Fem,Casado/a
4.630000114440918,14,Fem,Casado/a
3.0,15,Masc,Soltero/a
3.200000047683716,12,Fem,Soltero/a
3.910000085830689,18,Masc,Casado/a
6.429999828338623,16,Fem,Casado/a
5.480000019073486,10,Fem,Casado/a
1.5,8,Masc,Soltero/a
2.900000095367432,10,Fem,Soltero/a
5.0,11,Masc,Casado/a
8.920000076293945,18,Masc,Casado/a
5.0,15,Masc,Soltero/a
3.5199999809265137,12,Masc,Casado/a
2.900000095367432,11,Fem,Soltero/a
4.5,12,Masc,Casado/a
2.25,12,Fem,Soltero/a
5.0,14,Masc,Casado/a
10.0,16,Masc,Casado/a
3.75,2,Masc,Casado/a
10.0,14,Fem,Casado/a
10.949999809265137,16,Masc,Casado/a
7.900000095367432,12,Masc,Soltero/a
4.71999979019165,12,Fem,Soltero/a
5.840000152587891,13,Fem,Casado/a
3.829999923706055,12,Fem,Soltero/a
3.200000047683716,15,Fem,Soltero/a
2.0,10,Fem,Soltero/a
4.5,12,Fem,Casado/a
11.550000190734863,16,Fem,Casado/a
2.140000104904175,13,Fem,Casado/a
2.380000114440918,9,Masc,Soltero/a
3.75,12,Masc,Soltero/a
5.519999980926514,13,Masc,Soltero/a
6.5,12,Fem,Casado/a
3.0999999046325684,12,Fem,Soltero/a
10.0,14,Masc,Casado/a
6.630000114440918,16,Masc,Casado/a
10.0,16,Masc,Casado/a
2.309999942779541,9,Fem,Soltero/a
6.880000114440918,18,Masc,Soltero/a
2.8299999237060547,10,Masc,Soltero/a
3.130000114440918,10,Fem,Soltero/a
8.0,13,Masc,Casado/a
4.5,12,Fem,Casado/a
8.649999618530273,18,Fem,Soltero/a
2.0,13,Fem,Soltero/a
4.75,12,Fem,Casado/a
6.25,13,Fem,Casado/a
6.0,13,Masc,Casado/a
15.380000114440918,13,Masc,Casado/a
14.579999923706056,18,Fem,Soltero/a
12.5,12,Masc,Soltero/a
5.25,12,Fem,Casado/a
2.1700000762939453,13,Fem,Soltero/a
7.139999866485596,12,Fem,Soltero/a
6.21999979019165,12,Fem,Casado/a
9.0,12,Fem,Casado/a
10.0,14,Masc,Casado/a
5.769999980926514,10,Masc,Casado/a
4.0,12,Fem,Casado/a
8.75,16,Masc,Casado/a
6.53000020980835,16,Fem,Soltero/a
7.599999904632568,12,Fem,Soltero/a
5.0,14,Masc,Soltero/a
5.0,12,Fem,Soltero/a
21.86000061035156,12,Masc,Casado/a
8.640000343322754,12,Masc,Casado/a
3.299999952316284,12,Masc,Casado/a
4.440000057220459,12,Masc,Soltero/a
4.550000190734863,12,Masc,Casado/a
3.5,12,Fem,Casado/a
6.25,16,Masc,Casado/a
3.849999904632568,16,Masc,Casado/a
6.179999828338623,14,Fem,Casado/a
2.9100000858306885,11,Fem,Soltero/a
6.25,16,Fem,Soltero/a
6.25,12,Fem,Casado/a
9.050000190734863,12,Masc,Casado/a
10.0,17,Masc,Casado/a
11.109999656677246,12,Masc,Casado/a
6.880000114440918,12,Masc,Casado/a
8.75,16,Masc,Soltero/a
10.0,8,Masc,Casado/a
3.049999952316284,12,Fem,Casado/a
3.0,12,Fem,Casado/a
5.800000190734863,12,Fem,Casado/a
4.099999904632568,16,Fem,Casado/a
8.0,12,Masc,Casado/a
6.150000095367432,12,Fem,Soltero/a
2.700000047683716,9,Fem,Soltero/a
2.75,13,Fem,Soltero/a
3.0,16,Fem,Casado/a
3.0,14,Fem,Soltero/a
7.360000133514404,8,Masc,Casado/a
7.5,14,Masc,Casado/a
3.5,13,Masc,Soltero/a
8.100000381469727,12,Fem,Casado/a
3.75,18,Masc,Soltero/a
3.25,9,Masc,Casado/a
5.829999923706055,8,Fem,Casado/a
3.5,8,Masc,Soltero/a
3.3299999237060547,12,Fem,Casado/a
4.0,14,Fem,Soltero/a
3.5,12,Fem,Casado/a
6.25,16,Masc,Casado/a
2.950000047683716,8,Fem,Casado/a
5.710000038146973,13,Fem,Casado/a
3.0,9,Fem,Soltero/a
22.86000061035156,16,Masc,Casado/a
9.0,12,Masc,Casado/a
8.329999923706055,15,Masc,Casado/a
3.0,11,Masc,Soltero/a
5.75,14,Masc,Casado/a
6.760000228881836,12,Masc,Casado/a
10.0,12,Masc,Casado/a
3.0,12,Masc,Soltero/a
3.5,18,Fem,Soltero/a
3.25,12,Masc,Soltero/a
4.0,12,Fem,Soltero/a
2.9200000762939453,12,Fem,Soltero/a
3.059999942779541,12,Fem,Soltero/a
3.200000047683716,12,Fem,Casado/a
4.75,12,Masc,Casado/a
3.0,14,Fem,Casado/a
18.15999984741211,16,Masc,Casado/a
3.5,12,Fem,Soltero/a
4.110000133514404,14,Masc,Soltero/a
1.9600000381469729,11,Fem,Soltero/a
4.289999961853027,12,Fem,Soltero/a
3.0,10,Masc,Soltero/a
6.449999809265137,12,Masc,Casado/a
5.199999809265137,6,Masc,Casado/a
4.5,13,Fem,Soltero/a
3.880000114440918,12,Masc,Casado/a
3.450000047683716,10,Fem,Soltero/a
10.90999984741211,12,Masc,Soltero/a
4.099999904632568,14,Fem,Casado/a
3.0,13,Masc,Soltero/a
5.900000095367432,12,Masc,Casado/a
18.0,18,Fem,Soltero/a
4.0,12,Masc,Soltero/a
3.0,12,Masc,Soltero/a
3.549999952316284,12,Fem,Casado/a
3.0,12,Fem,Casado/a
8.75,12,Masc,Casado/a
2.900000095367432,8,Fem,Soltero/a
6.260000228881836,13,Fem,Casado/a
3.5,13,Fem,Soltero/a
4.599999904632568,14,Fem,Casado/a
6.0,12,Masc,Soltero/a
2.890000104904175,10,Fem,Soltero/a
5.579999923706055,16,Masc,Casado/a
4.0,12,Fem,Casado/a
6.0,16,Masc,Soltero/a
4.5,12,Fem,Soltero/a
2.9200000762939453,14,Masc,Soltero/a
4.329999923706055,18,Masc,Soltero/a
18.88999938964844,17,Masc,Casado/a
4.28000020980835,13,Fem,Soltero/a
4.570000171661377,14,Fem,Casado/a
6.25,15,Fem,Casado/a
2.950000047683716,14,Masc,Casado/a
8.75,12,Masc,Soltero/a
8.5,8,Masc,Soltero/a
3.75,12,Fem,Casado/a
3.150000095367432,12,Masc,Casado/a
5.0,8,Masc,Soltero/a
6.460000038146973,12,Masc,Casado/a
2.0,9,Masc,Soltero/a
4.789999961853027,12,Masc,Casado/a
5.78000020980835,16,Masc,Casado/a
3.180000066757202,12,Fem,Casado/a
4.679999828338623,16,Fem,Soltero/a
4.099999904632568,12,Fem,Soltero/a
2.9100000858306885,12,Masc,Casado/a
6.0,13,Masc,Casado/a
3.5999999046325684,10,Fem,Casado/a
3.950000047683716,6,Masc,Casado/a
7.0,12,Masc,Casado/a
3.0,12,Fem,Casado/a
6.079999923706055,16,Masc,Soltero/a
8.630000114440918,12,Masc,Casado/a
3.0,8,Masc,Casado/a
3.75,12,Fem,Casado/a
2.900000095367432,6,Masc,Casado/a
3.0,4,Masc,Casado/a
6.25,11,Masc,Casado/a
3.5,11,Fem,Soltero/a
3.0,7,Fem,Soltero/a
3.240000009536743,12,Fem,Casado/a
8.020000457763672,18,Fem,Casado/a
3.3299999237060547,12,Fem,Casado/a
5.25,16,Masc,Soltero/a
6.25,12,Masc,Casado/a
3.5,14,Masc,Casado/a
2.950000047683716,12,Masc,Soltero/a
3.0,10,Fem,Casado/a
4.690000057220459,10,Masc,Soltero/a
3.7300000190734863,9,Fem,Soltero/a
4.0,10,Masc,Casado/a
4.0,12,Fem,Casado/a
2.900000095367432,12,Fem,Casado/a
3.049999952316284,12,Fem,Soltero/a
5.050000190734863,10,Fem,Soltero/a
13.949999809265137,16,Masc,Casado/a
18.15999984741211,16,Masc,Casado/a
6.25,16,Masc,Soltero/a
5.25,12,Masc,Soltero/a
4.789999961853027,12,Fem,Casado/a
3.3499999046325684,7,Fem,Soltero/a
3.0,8,Masc,Casado/a
8.430000305175781,16,Masc,Casado/a
5.699999809265137,16,Masc,Soltero/a
11.979999542236328,18,Masc,Casado/a
3.5,13,Fem,Casado/a
4.239999771118164,10,Masc,Casado/a
7.0,16,Fem,Casado/a
6.0,14,Fem,Casado/a
12.220000267028809,16,Masc,Soltero/a
4.5,12,Masc,Casado/a
3.0,9,Fem,Casado/a
2.900000095367432,11,Masc,Soltero/a
15.0,11,Masc,Casado/a
4.0,12,Masc,Casado/a
5.25,11,Masc,Casado/a
4.0,12,Masc,Casado/a
3.299999952316284,12,Fem,Casado/a
5.050000190734863,12,Fem,Casado/a
3.5799999237060547,12,Masc,Soltero/a
5.0,14,Masc,Casado/a
4.570000171661377,14,Masc,Casado/a
12.5,18,Masc,Soltero/a
3.450000047683716,12,Fem,Casado/a
4.630000114440918,12,Fem,Soltero/a
10.0,12,Masc,Casado/a
2.9200000762939453,11,Fem,Soltero/a
4.510000228881836,12,Masc,Soltero/a
6.5,17,Masc,Casado/a
7.5,16,Masc,Casado/a
3.539999961853028,13,Fem,Casado/a
4.199999809265137,13,Fem,Casado/a
3.509999990463257,12,Fem,Casado/a
4.5,14,Masc,Casado/a
3.3499999046325684,14,Fem,Casado/a
2.9100000858306885,11,Masc,Soltero/a
5.25,10,Masc,Casado/a
4.050000190734863,8,Masc,Casado/a
3.75,14,Fem,Casado/a
3.400000095367432,12,Fem,Casado/a
3.0,10,Fem,Soltero/a
6.289999961853027,17,Masc,Casado/a
2.539999961853028,9,Fem,Soltero/a
4.5,12,Fem,Casado/a
3.130000114440918,12,Fem,Casado/a
6.360000133514404,14,Masc,Casado/a
4.679999828338623,16,Masc,Soltero/a
6.800000190734863,12,Masc,Casado/a
8.529999732971191,10,Masc,Casado/a
4.170000076293945,0,Fem,Soltero/a
3.75,14,Fem,Casado/a
11.100000381469728,15,Fem,Soltero/a
3.259999990463257,16,Fem,Casado/a
9.130000114440918,12,Masc,Casado/a
4.5,11,Masc,Casado/a
3.0,11,Fem,Soltero/a
8.75,12,Masc,Casado/a
4.139999866485596,13,Fem,Casado/a
2.869999885559082,12,Fem,Casado/a
3.3499999046325684,13,Fem,Soltero/a
6.079999923706055,16,Masc,Soltero/a
3.0,15,Masc,Soltero/a
4.199999809265137,16,Fem,Casado/a
5.599999904632568,15,Fem,Soltero/a
10.0,12,Masc,Casado/a
12.5,18,Masc,Casado/a
3.759999990463257,6,Masc,Soltero/a
3.0999999046325684,6,Fem,Soltero/a
4.289999961853027,12,Fem,Casado/a
10.920000076293944,12,Masc,Casado/a
7.5,16,Fem,Casado/a
4.050000190734863,9,Fem,Casado/a
4.650000095367432,12,Masc,Casado/a
5.0,11,Masc,Casado/a
2.900000095367432,10,Fem,Casado/a
8.0,12,Fem,Soltero/a
8.430000305175781,8,Masc,Casado/a
2.9200000762939453,9,Fem,Soltero/a
6.25,17,Fem,Soltero/a
6.25,16,Fem,Casado/a
5.110000133514404,11,Masc,Soltero/a
4.0,10,Fem,Soltero/a
4.440000057220459,8,Masc,Casado/a
6.880000114440918,13,Masc,Casado/a
5.429999828338623,14,Masc,Casado/a
3.0,13,Fem,Soltero/a
2.900000095367432,11,Fem,Soltero/a
6.25,7,Masc,Casado/a
4.340000152587891,16,Fem,Soltero/a
3.25,12,Fem,Casado/a
7.260000228881836,13,Masc,Soltero/a
6.349999904632568,14,Fem,Casado/a
5.630000114440918,16,Masc,Casado/a
8.75,14,Masc,Casado/a
3.200000047683716,11,Masc,Soltero/a
3.0,8,Fem,Casado/a
3.0,14,Fem,Casado/a
12.5,17,Masc,Casado/a
2.880000114440918,10,Fem,Soltero/a
3.3499999046325684,12,Masc,Casado/a
6.5,12,Masc,Casado/a
10.380000114440918,18,Masc,Casado/a
4.5,14,Masc,Casado/a
10.0,18,Masc,Soltero/a
3.809999942779541,12,Fem,Casado/a
8.800000190734863,16,Masc,Casado/a
9.420000076293944,14,Fem,Casado/a
6.329999923706055,12,Masc,Casado/a
4.0,9,Masc,Soltero/a
2.900000095367432,12,Fem,Casado/a
20.0,12,Masc,Casado/a
11.25,17,Masc,Casado/a
3.5,12,Fem,Soltero/a
6.0,15,Fem,Casado/a
14.380000114440918,17,Masc,Casado/a
6.360000133514404,16,Masc,Casado/a
3.549999952316284,12,Fem,Casado/a
3.0,15,Masc,Casado/a
4.5,16,Masc,Casado/a
6.630000114440918,12,Fem,Soltero/a
9.300000190734863,15,Masc,Casado/a
3.0,12,Fem,Casado/a
3.25,12,Fem,Soltero/a
1.5,12,Fem,Casado/a
5.900000095367432,12,Fem,Casado/a
8.0,16,Masc,Soltero/a
2.900000095367432,11,Fem,Soltero/a
3.289999961853028,14,Masc,Soltero/a
6.5,14,Masc,Casado/a
4.0,13,Fem,Soltero/a
6.0,14,Masc,Casado/a
4.079999923706055,12,Fem,Casado/a
3.75,12,Fem,Casado/a
3.049999952316284,8,Fem,Soltero/a
3.5,12,Fem,Casado/a
2.9200000762939453,3,Masc,Soltero/a
4.5,11,Masc,Soltero/a
3.3499999046325684,15,Fem,Casado/a
5.949999809265137,11,Masc,Casado/a
8.0,12,Masc,Casado/a
3.0,4,Masc,Casado/a
5.0,9,Masc,Casado/a
5.5,12,Masc,Casado/a
2.650000095367432,12,Fem,Casado/a
3.0,11,Fem,Soltero/a
4.5,12,Fem,Casado/a
17.5,16,Masc,Casado/a
8.180000305175781,13,Masc,Soltero/a
9.09000015258789,15,Masc,Casado/a
11.81999969482422,16,Masc,Casado/a
3.25,12,Fem,Casado/a
4.5,12,Masc,Soltero/a
4.5,12,Masc,Casado/a
3.7100000381469727,9,Masc,Casado/a
6.5,10,Masc,Casado/a
2.900000095367432,12,Fem,Casado/a
5.599999904632568,11,Masc,Casado/a
2.2300000190734863,8,Masc,Casado/a
5.0,6,Fem,Casado/a
8.329999923706055,16,Masc,Casado/a
2.900000095367432,12,Fem,Soltero/a
6.25,12,Masc,Casado/a
4.550000190734863,16,Masc,Casado/a
3.2799999713897705,12,Fem,Soltero/a
2.299999952316284,10,Fem,Soltero/a
3.299999952316284,13,Fem,Soltero/a
3.150000095367432,13,Fem,Soltero/a
12.5,14,Masc,Casado/a
5.150000095367432,16,Fem,Soltero/a
3.130000114440918,10,Masc,Soltero/a
7.25,12,Masc,Casado/a
2.900000095367432,12,Fem,Soltero/a
1.75,11,Masc,Soltero/a
2.890000104904175,0,Fem,Casado/a
2.900000095367432,5,Fem,Casado/a
17.709999084472656,16,Masc,Casado/a
6.25,16,Masc,Casado/a
2.5999999046325684,9,Masc,Soltero/a
6.630000114440918,15,Fem,Casado/a
3.5,12,Fem,Soltero/a
6.5,12,Masc,Casado/a
3.0,12,Fem,Soltero/a
4.380000114440918,13,Masc,Casado/a
10.0,12,Masc,Soltero/a
4.949999809265137,7,Masc,Casado/a
9.0,17,Fem,Casado/a
1.4299999475479126,12,Fem,Casado/a
3.0799999237060547,12,Masc,Soltero/a
9.329999923706056,14,Masc,Casado/a
7.5,12,Masc,Casado/a
4.75,13,Masc,Casado/a
5.650000095367432,12,Masc,Soltero/a
15.0,16,Fem,Casado/a
2.2699999809265137,10,Fem,Soltero/a
4.670000076293945,15,Masc,Casado/a
11.5600004196167,16,Masc,Casado/a
3.5,14,Fem,Soltero/a
